loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,income_to_loan_ratio,total_assets,loan_status_encoded,cibil_range,loan_to_income_ratio,lti_range,loan_status_numeric,education_numeric,self_employed_numeric
12,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,0.2951541850220264,47900000,0,Poor (0-600),3.388059701492537,Low (2-4x),0,0,1
13,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,0.4310344827586206,34900000,0,Poor (0-600),2.32,Low (2-4x),0,0,1
14,2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,0.2888888888888888,53300000,1,Fair (600-700),3.4615384615384617,Low (2-4x),1,1,1
15,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected,0.2567567567567567,10900000,0,Poor (0-600),3.8947368421052633,Low (2-4x),0,0,0
16,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,0.4392523364485981,30400000,1,Very Good (750-800),2.276595744680851,Low (2-4x),1,0,0
17,2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,0.3125,3400000,1,Fair (600-700),3.2,Low (2-4x),1,1,1
18,4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,0.3085106382978723,16700000,1,Very Good (750-800),3.2413793103448274,Low (2-4x),1,0,1
19,2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,0.2621359223300971,10500000,1,Good (700-750),3.814814814814815,Low (2-4x),1,1,0
20,5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved,0.4315068493150685,43200000,1,Fair (600-700),2.3174603174603177,Low (2-4x),1,1,0
21,2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,0.2577319587628865,35200000,0,Poor (0-600),3.88,Low (2-4x),0,1,0
22,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,0.4142857142857143,42700000,0,Poor (0-600),2.413793103448276,Low (2-4x),0,1,0
23,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,0.2529182879377432,42800000,0,Poor (0-600),3.953846153846154,Low (2-4x),0,1,1
24,0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,Approved,0.3571428571428571,2900000,1,Poor (0-600),2.8,Low (2-4x),1,0,1
25,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,0.5,25800000,0,Poor (0-600),2.0,Very Low (0-2x),0,0,0
26,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,0.3263157894736842,20200000,0,Poor (0-600),3.064516129032258,Low (2-4x),0,0,0
27,4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,0.2918149466192171,54600000,1,Fair (600-700),3.426829268292683,Low (2-4x),1,1,0
28,4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,0.4285714285714285,16600000,1,Fair (600-700),2.3333333333333335,Low (2-4x),1,0,1
29,5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,0.2916666666666667,51400000,0,Poor (0-600),3.4285714285714284,Low (2-4x),0,0,1
30,3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,0.2857142857142857,75900000,1,Excellent (800+),3.5,Low (2-4x),1,0,1
31,2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,0.3873517786561264,60200000,0,Poor (0-600),2.5816326530612246,Low (2-4x),0,0,0
32,2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,0.475,37000000,0,Poor (0-600),2.1052631578947367,Low (2-4x),0,1,0
33,1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,0.5,4100000,0,Poor (0-600),2.0,Very Low (0-2x),0,0,1
34,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,0.3818181818181818,33000000,1,Excellent (800+),2.619047619047619,Low (2-4x),1,0,1
35,3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,0.4117647058823529,35700000,1,Fair (600-700),2.4285714285714284,Low (2-4x),1,1,0
36,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,0.5,12400000,1,Fair (600-700),2.0,Very Low (0-2x),1,1,1
37,3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,0.2580645161290322,10800000,1,Fair (600-700),3.875,Low (2-4x),1,0,0
38,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,0.2941176470588235,30500000,0,Poor (0-600),3.4,Low (2-4x),0,1,1
39,5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,0.4675324675324675,21200000,1,Excellent (800+),2.138888888888889,Low (2-4x),1,1,0
40,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,0.2941176470588235,6800000,0,Poor (0-600),3.4,Low (2-4x),0,0,1
41,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,0.430939226519337,50500000,1,Good (700-750),2.3205128205128207,Low (2-4x),1,1,0
42,2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,0.3654618473895582,70600000,1,Excellent (800+),2.7362637362637363,Low (2-4x),1,0,0
43,3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,0.4117647058823529,6400000,0,Poor (0-600),2.4285714285714284,Low (2-4x),0,1,0
44,2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,0.3478260869565217,6100000,0,Poor (0-600),2.875,Low (2-4x),0,1,1
45,5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,0.4850746268656716,40100000,1,Very Good (750-800),2.0615384615384613,Low (2-4x),1,1,0
46,4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,0.2877697841726618,51600000,0,Poor (0-600),3.475,Low (2-4x),0,1,0
47,3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,0.2876712328767123,22900000,1,Fair (600-700),3.4761904761904763,Low (2-4x),1,0,1
48,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,0.256544502617801,38700000,1,Fair (600-700),3.8979591836734695,Low (2-4x),1,1,1
49,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,0.2682926829268293,36100000,1,Fair (600-700),3.727272727272727,Low (2-4x),1,0,0
50,1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,0.4973821989528796,60000000,1,Fair (600-700),2.0105263157894737,Low (2-4x),1,0,1
51,4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,0.2874015748031496,33300000,0,Poor (0-600),3.4794520547945207,Low (2-4x),0,1,0
52,2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,0.3522267206477733,43400000,0,Poor (0-600),2.839080459770115,Low (2-4x),0,1,0
53,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,0.5,21500000,1,Fair (600-700),2.0,Very Low (0-2x),1,0,0
54,1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,0.3652173913043478,70300000,1,Fair (600-700),2.738095238095238,Low (2-4x),1,0,1
55,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,0.2588832487309644,39500000,1,Poor (0-600),3.8627450980392157,Low (2-4x),1,1,1
56,5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,0.273469387755102,29300000,1,Excellent (800+),3.656716417910448,Low (2-4x),1,0,0
57,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,0.4056603773584906,18100000,0,Poor (0-600),2.4651162790697674,Low (2-4x),0,0,0
58,5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,0.3049180327868852,72900000,1,Excellent (800+),3.2795698924731185,Low (2-4x),1,1,1
59,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,0.4021739130434782,49200000,0,Poor (0-600),2.4864864864864864,Low (2-4x),0,1,0
60,4,Not Graduate,Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved,0.3021978021978022,28200000,1,Very Good (750-800),3.309090909090909,Low (2-4x),1,0,1
61,2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,0.4497354497354497,77400000,0,Poor (0-600),2.223529411764706,Low (2-4x),0,0,0
62,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,0.3147540983606557,42400000,1,Fair (600-700),3.1770833333333335,Low (2-4x),1,0,1
63,5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,0.3044982698961938,65100000,0,Poor (0-600),3.284090909090909,Low (2-4x),0,0,1
64,3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,0.44,20600000,1,Poor (0-600),2.272727272727273,Low (2-4x),1,0,1
65,4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,0.3170731707317073,30400000,1,Very Good (750-800),3.1538461538461537,Low (2-4x),1,1,1
66,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,0.3980582524271844,33300000,0,Poor (0-600),2.5121951219512195,Low (2-4x),0,1,0
67,3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,0.2852233676975945,54000000,1,Good (700-750),3.5060240963855422,Low (2-4x),1,0,0
68,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,0.2673267326732673,9200000,0,Fair (600-700),3.740740740740741,Low (2-4x),0,0,1
69,4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,0.4516129032258064,25900000,1,Very Good (750-800),2.2142857142857144,Low (2-4x),1,1,0
70,0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,0.38,14100000,0,Poor (0-600),2.6315789473684212,Low (2-4x),0,1,0
71,4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,0.3333333333333333,2800000,0,Poor (0-600),3.0,Low (2-4x),0,0,1
72,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,0.2849462365591398,28500000,1,Poor (0-600),3.509433962264151,Low (2-4x),1,1,1
73,5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,0.3825136612021858,59200000,0,Poor (0-600),2.6142857142857143,Low (2-4x),0,0,0
74,3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,0.3473053892215569,31500000,1,Good (700-750),2.8793103448275863,Low (2-4x),1,0,1
75,2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,0.3095238095238095,17900000,0,Poor (0-600),3.230769230769231,Low (2-4x),0,0,0
76,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,0.2923076923076923,9000000,1,Fair (600-700),3.4210526315789473,Low (2-4x),1,0,0
77,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,0.3851351351351351,41300000,1,Fair (600-700),2.5964912280701755,Low (2-4x),1,1,0
78,0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,0.2686567164179104,67000000,1,Excellent (800+),3.7222222222222223,Low (2-4x),1,1,0
79,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,0.2891156462585034,57400000,1,Poor (0-600),3.458823529411765,Low (2-4x),1,0,0
80,0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,0.5,5900000,1,Fair (600-700),2.0,Very Low (0-2x),1,0,0
81,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,0.3932584269662921,17800000,0,Poor (0-600),2.5428571428571427,Low (2-4x),0,1,0
82,0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,0.282051282051282,45300000,1,Excellent (800+),3.5454545454545454,Low (2-4x),1,0,0
83,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,0.4669811320754717,70300000,0,Poor (0-600),2.1414141414141414,Low (2-4x),0,0,1
84,3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,0.4186046511627907,23300000,1,Fair (600-700),2.388888888888889,Low (2-4x),1,1,0
85,3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,0.3658536585365853,25500000,1,Good (700-750),2.7333333333333334,Low (2-4x),1,0,1
86,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,0.320754716981132,48700000,0,Poor (0-600),3.1176470588235294,Low (2-4x),0,1,0
87,5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,0.2894736842105263,7900000,0,Poor (0-600),3.4545454545454546,Low (2-4x),0,0,1
88,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,0.3074204946996466,72100000,0,Poor (0-600),3.2528735632183907,Low (2-4x),0,0,1
89,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,0.25,14500000,1,Excellent (800+),4.0,Low (2-4x),1,1,1
90,2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,0.2606382978723404,55100000,1,Fair (600-700),3.836734693877551,Low (2-4x),1,0,0
91,4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,0.2701421800947867,23300000,0,Poor (0-600),3.7017543859649122,Low (2-4x),0,1,0
92,4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,0.4251207729468599,57500000,0,Poor (0-600),2.352272727272727,Low (2-4x),0,1,0
93,4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,0.4269662921348314,30400000,1,Excellent (800+),2.3421052631578947,Low (2-4x),1,1,0
94,1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,0.265625,9700000,0,Poor (0-600),3.764705882352941,Low (2-4x),0,1,0
95,2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,0.5,6100000,0,Poor (0-600),2.0,Very Low (0-2x),0,1,0
96,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,Approved,0.2727272727272727,1700000,1,Poor (0-600),3.6666666666666665,Low (2-4x),1,1,0
97,2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,0.44,31200000,0,Poor (0-600),2.272727272727273,Low (2-4x),0,1,1
98,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,0.348,53700000,1,Excellent (800+),2.8735632183908044,Low (2-4x),1,0,0
99,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,0.3197278911564626,84600000,1,Poor (0-600),3.127659574468085,Low (2-4x),1,1,0
100,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,0.4074074074074074,25700000,0,Poor (0-600),2.4545454545454546,Low (2-4x),0,1,0
101,4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,0.4444444444444444,2100000,0,Poor (0-600),2.25,Low (2-4x),0,0,0
102,2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,0.2727272727272727,1200000,1,Good (700-750),3.6666666666666665,Low (2-4x),1,0,1
103,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,0.3333333333333333,28800000,1,Fair (600-700),3.0,Low (2-4x),1,0,1
104,4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,0.3555555555555555,8400000,1,Fair (600-700),2.8125,Low (2-4x),1,1,0
105,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,0.2627118644067797,61300000,0,Poor (0-600),3.806451612903226,Low (2-4x),0,0,1
106,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,0.4329896907216495,29900000,1,Excellent (800+),2.3095238095238093,Low (2-4x),1,0,1
107,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,0.4972375690607735,49500000,1,Very Good (750-800),2.011111111111111,Low (2-4x),1,0,1
108,0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,0.2547169811320754,15700000,1,Poor (0-600),3.925925925925926,Low (2-4x),1,1,0
109,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,0.2701949860724233,58500000,1,Good (700-750),3.7010309278350517,Low (2-4x),1,1,1
110,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,0.4852941176470588,19000000,0,Poor (0-600),2.0606060606060606,Low (2-4x),0,1,0
111,0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,Approved,0.2727272727272727,2000000,1,Very Good (750-800),3.6666666666666665,Low (2-4x),1,0,0
112,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,0.4065934065934066,31600000,0,Poor (0-600),2.4594594594594597,Low (2-4x),0,1,1
113,5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,0.3604060913705584,48000000,0,Poor (0-600),2.7746478873239435,Low (2-4x),0,0,0
114,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,0.3303167420814479,59200000,1,Excellent (800+),3.0273972602739727,Low (2-4x),1,0,1
115,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,0.358974358974359,62700000,0,Poor (0-600),2.7857142857142856,Low (2-4x),0,0,0
116,0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,0.3055555555555556,17600000,1,Very Good (750-800),3.272727272727273,Low (2-4x),1,0,1
117,4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,0.25,50400000,0,Poor (0-600),4.0,Low (2-4x),0,0,1
118,0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,0.375,4300000,1,Fair (600-700),2.6666666666666665,Low (2-4x),1,0,0
119,0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,0.4556962025316455,50000000,0,Poor (0-600),2.1944444444444446,Low (2-4x),0,0,0
120,1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,0.2765957446808511,33700000,1,Good (700-750),3.6153846153846154,Low (2-4x),1,0,1
121,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,0.391304347826087,3800000,0,Poor (0-600),2.5555555555555554,Low (2-4x),0,1,0
122,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,0.25,4200000,0,Poor (0-600),4.0,Low (2-4x),0,1,0
123,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,0.2583586626139817,37300000,1,Poor (0-600),3.8705882352941177,Low (2-4x),1,0,0
124,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,0.481283422459893,59000000,1,Excellent (800+),2.077777777777778,Low (2-4x),1,0,1
125,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,0.358974358974359,50900000,1,Good (700-750),2.7857142857142856,Low (2-4x),1,1,0
126,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,Approved,0.3333333333333333,1100000,1,Excellent (800+),3.0,Low (2-4x),1,1,0
127,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,0.5,2400000,1,Excellent (800+),2.0,Very Low (0-2x),1,0,1
128,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,0.2802197802197802,29900000,0,Poor (0-600),3.5686274509803924,Low (2-4x),0,0,0
129,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,0.2692307692307692,6400000,0,Poor (0-600),3.7142857142857144,Low (2-4x),0,0,1
130,3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,0.3333333333333333,2100000,1,Excellent (800+),3.0,Low (2-4x),1,1,0
131,0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,0.4567307692307692,74300000,1,Poor (0-600),2.1894736842105265,Low (2-4x),1,0,1
132,5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,0.3893805309734513,39600000,0,Poor (0-600),2.5681818181818183,Low (2-4x),0,1,0
133,3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,0.5,9100000,0,Poor (0-600),2.0,Very Low (0-2x),0,0,1
134,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,0.4892086330935252,56100000,0,Poor (0-600),2.0441176470588234,Low (2-4x),0,0,1
135,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,0.2727272727272727,8600000,1,Good (700-750),3.6666666666666665,Low (2-4x),1,0,0
136,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,0.2909090909090909,7700000,0,Poor (0-600),3.4375,Low (2-4x),0,1,0
137,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,0.2754491017964072,26100000,1,Very Good (750-800),3.630434782608696,Low (2-4x),1,0,0
138,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,0.3283582089552239,15400000,0,Poor (0-600),3.0454545454545454,Low (2-4x),0,0,1
139,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,0.3411764705882353,13400000,1,Poor (0-600),2.9310344827586206,Low (2-4x),1,0,1
140,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,Rejected,0.2857142857142857,1500000,0,Poor (0-600),3.5,Low (2-4x),0,1,0
141,2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,0.2659574468085106,23500000,1,Good (700-750),3.76,Low (2-4x),1,0,1
142,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,0.48,17800000,1,Excellent (800+),2.0833333333333335,Low (2-4x),1,0,0
143,0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,0.3293413173652694,25500000,1,Excellent (800+),3.036363636363636,Low (2-4x),1,1,1
144,4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,0.3793103448275862,45700000,0,Poor (0-600),2.6363636363636362,Low (2-4x),0,0,0
145,2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,0.2679127725856697,60400000,1,Excellent (800+),3.7325581395348837,Low (2-4x),1,1,1
146,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,0.4,3600000,0,Poor (0-600),2.5,Low (2-4x),0,0,0
147,3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,0.4375,10000000,1,Very Good (750-800),2.2857142857142856,Low (2-4x),1,1,1
148,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,0.3603603603603603,24700000,1,Poor (0-600),2.775,Low (2-4x),1,1,0
149,0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,0.4117647058823529,37800000,1,Good (700-750),2.4285714285714284,Low (2-4x),1,0,1
150,5,Graduate,No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,0.3225806451612903,14400000,0,Poor (0-600),3.1,Low (2-4x),0,1,0
151,1,Not Graduate,Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,0.2694300518134715,46800000,0,Poor (0-600),3.7115384615384617,Low (2-4x),0,0,1
152,5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,0.3090277777777778,47900000,1,Very Good (750-800),3.235955056179775,Low (2-4x),1,1,1
153,1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,0.3155339805825243,39100000,1,Poor (0-600),3.169230769230769,Low (2-4x),1,1,1
154,2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected,0.2888888888888888,5000000,0,Poor (0-600),3.4615384615384617,Low (2-4x),0,0,0
